GEM plant ID,production_2024_ttpa,steel_capacity_ttpa,iron_capacity_ttpa,eaf_capacity_ttpa,workforce,plant_age,country,equipment,active_status
P100000120807,10921.0,14500.0,11126.0,4000.0,16648.0,94.0,Russia,BF; BOF; EAF,both
P100000120722,305.0,550.0,0.0,550.0,973.0,59.0,North Macedonia,EAF,operating
P100000120487,250.0,300.0,0.0,300.0,251.0,49.0,United Kingdom,EAF,operating pre-retirement
P100000120805,3400.0,5799.0,4000.0,1800.0,15196.0,83.0,Russia,BF; BOF; EAF,operating
P100000120812,3500.0,3500.0,3180.0,3500.0,9099.0,42.0,Russia,DRI; EAF,operating
P100000120909,2099.0,3500.0,4349.0,0.0,8865.0,139.0,Ukraine,BF; BOF,operating
P100000120962,653.0,1088.0,0.0,1088.0,350.0,109.0,United States,EAF,operating
P100000120916,2890.0,4102.0,4371.0,0.0,8000.0,93.0,Ukraine,BF; BOF; Steel other/unspecified,operating
P100001062087,350.0,450.0,450.0,0.0,,4.55,India,BF; Steel other/unspecified,operating
P100000121156,20.0,400.0,0.0,400.0,354.0,,Myanmar,DRI; EAF,operating
P100000120679,542.0,600.0,0.0,600.0,434.0,97.0,Japan,EAF,operating
P100000120190,9336.0,10000.0,8600.0,0.0,4839.0,68.0,China,BF; BOF,operating
P100000120540,953.0,1100.0,1100.0,0.0,1400.0,44.0,India,BF; BOF,operating
P100000120664,6090.0,5918.0,4896.0,0.0,3042.0,58.0,Japan,BF; BOF,both
P100000120659,6600.0,10001.0,9200.0,0.0,3547.0,61.0,Japan,BF; BOF,operating
P100000120666,2180.0,3043.0,2500.0,283.0,5051.0,84.0,Japan,BF; BOF; EAF,operating
P100000120662,8350.0,9999.0,10564.0,0.0,2083.0,54.72,Japan,BF; BOF,operating
P100000120663,3700.0,3726.0,4543.0,0.0,1789.0,125.0,Japan,BF; BOF; EAF,both
P100000120661,5470.0,6000.0,9466.0,0.0,3183.0,65.0,Japan,BF; BOF,operating
P100000120658,610.0,3536.0,570.0,720.0,1351.0,87.0,Japan,BOF; DRI; EAF,both
P100001041253,410.0,500.0,0.0,500.0,,71.0,Japan,EAF,operating
P100001041252,200.0,866.0,0.0,866.0,,68.0,Japan,EAF,operating
P100000120808,14300.0,14400.0,14200.0,0.0,27000.0,92.0,Russia,BF; BOF,operating
P100000120523,2000.0,3000.0,3321.0,0.0,5596.0,2.47,India,BF; BOF,operating
P100000120936,906.0,1600.0,0.0,1600.0,1670.0,36.0,United States,EAF,operating
P100000120660,1240.0,2200.0,1240.0,700.0,1026.0,117.0,Japan,BF; BOF; EAF,operating
P100000120938,2247.0,2956.0,0.0,2956.0,975.0,30.0,United States,EAF,operating
P100000121155,380.0,500.0,0.0,500.0,250.0,43.0,United States,EAF,operating
P100000120953,1102.0,1450.0,0.0,1450.0,400.0,4.0,United States,EAF,operating
P100000120939,1751.0,2304.0,0.0,2304.0,850.0,37.0,United States,EAF,operating
P100000120940,692.0,910.0,0.0,910.0,470.0,57.0,United States,EAF,operating
P100000120945,2356.0,3100.0,0.0,3100.0,696.0,29.0,United States,EAF,operating
P100000120946,2069.0,2722.0,0.0,2722.0,700.0,31.0,United States,EAF,operating
P100000120941,1172.0,1542.0,0.0,1542.0,500.0,26.0,United States,EAF,operating
P100000120942,1862.0,2450.0,0.0,2450.0,926.0,34.0,United States,EAF,operating
P100000120948,689.0,907.0,0.0,907.0,400.0,51.0,United States,EAF,operating
P100000120947,603.0,794.0,0.0,794.0,350.0,65.0,United States,EAF,operating
P100000120944,677.0,891.0,0.0,891.0,450.0,18.0,United States,EAF,operating
P100000120943,827.0,1088.0,0.0,1088.0,500.0,47.0,United States,EAF,operating
P100000120951,690.0,908.0,0.0,908.0,100.0,45.0,United States,EAF,operating
P100000120952,646.0,855.0,0.0,855.0,320.0,122.0,United States,EAF,operating
P100000120950,912.0,1200.0,0.0,1200.0,345.0,41.0,United States,EAF,operating
P100000120949,2412.0,3174.0,0.0,3174.0,750.0,38.0,United States,EAF,operating
P100000120017,873.0,1940.0,1100.0,800.0,1900.0,134.0,Bosnia and Herzegovina,BF; BOF; EAF,operating
P100000120628,1500.0,2200.0,0.0,2200.0,1500.0,51.0,Italy,EAF,operating
P100000120699,19295.0,22999.0,24750.0,0.0,4080.0,39.0,South Korea,BF; BOF; DRI; EAF,operating
P100000120700,15752.0,18758.0,17209.0,1357.0,6920.0,53.0,South Korea,BF; BOF; DRI; EAF; Iron other/unspecified,operating
P100000120710,3400.0,6000.0,6450.0,0.0,35000.0,66.0,Kazakhstan,BF; BOF,operating
P100000120531,4411.0,7300.0,7500.0,0.0,12794.0,37.0,India,BF; BOF,operating
P100000120432,2183.0,2700.0,0.0,0.0,800.0,153.0,Germany,BOF; EAF,operating pre-retirement
P100000120525,5658.0,6999.0,7501.0,0.0,16407.0,67.0,India,BF; BOF; Iron other/unspecified,both
P100000120526,4512.0,4652.0,5775.0,0.0,11798.0,54.0,India,BF; BOF; Steel other/unspecified,operating
P100000120527,2260.0,2499.0,2700.0,0.0,7855.0,67.0,India,BF; BOF,both
P100000120524,2437.0,2499.0,2700.0,0.0,5945.0,108.0,India,BF; BOF,operating
P100000120528,4040.0,4200.0,4500.0,0.0,12938.0,67.0,India,BF; BOF,both
P100000120424,4700.0,5200.0,4880.0,0.0,5906.0,25.0,Germany,BF; BOF; DRI; EAF,operating pre-retirement
P100000120484,800.0,1200.0,0.0,1200.0,800.0,20.0,United Kingdom,EAF,operating
P100000120701,1743.0,2101.0,0.0,2101.0,1592.0,29.0,South Korea,EAF,operating
P100000120702,499.0,1200.0,0.0,1200.0,1229.0,60.0,South Korea,EAF,operating
P100000120760,507.0,770.0,0.0,770.0,344.0,80.0,Norway,EAF,operating
P100000120818,10400.0,12201.0,11800.0,2400.0,29341.0,71.0,Russia,BF; BOF; EAF,operating
P100000121004,27.0,1020.0,1290.0,1020.0,12676.0,64.0,Venezuela,DRI; EAF,operating
P100000120853,457.0,726.0,0.0,726.0,1300.0,66.0,Slovenia,EAF,operating
P100000120052,485.0,600.0,0.0,600.0,579.0,84.0,Brazil,EAF,operating
P100000120051,476.0,500.0,0.0,500.0,480.0,11.0,Brazil,EAF,operating
P100000121176,504.0,504.0,175.0,504.0,1300.0,19.0,Brazil,BF; BOF; EAF,operating
P100000120933,626.0,1250.0,0.0,1250.0,700.0,25.0,United States,EAF,operating
P100000120934,1089.0,1200.0,0.0,1200.0,500.0,29.0,United States,EAF,operating
P100000120845,1823.0,2313.0,2564.0,13.0,1200.0,85.0,Sweden,BF; BOF; DRI; EAF,both
P100000120844,848.0,1500.0,1550.0,0.0,2400.0,113.0,Sweden,BF; BOF; EAF,operating pre-retirement
P100000120957,2349.0,3000.0,260.0,3000.0,3150.0,30.0,United States,DRI; EAF,operating
P100000120958,1620.0,2000.0,0.0,2000.0,3150.0,24.0,United States,EAF,operating
P100000120959,2754.0,3400.0,0.0,3400.0,700.0,19.0,United States,EAF,operating
P100000120973,770.0,950.0,0.0,950.0,3015.0,22.0,United States,EAF,operating
P100000120972,478.0,590.0,0.0,590.0,3150.0,71.0,United States,EAF,operating
P100000120960,2205.0,2722.0,0.0,2722.0,700.0,4.0,United States,EAF,operating
P100000120031,450.0,1400.0,0.0,1400.0,1200.0,68.0,Bulgaria,EAF,operating
P100000120032,1205.0,1300.0,1700.0,1300.0,,14.0,Bahrain,DRI; EAF,operating
P100000120575,479.0,525.0,562.0,525.0,2691.0,37.0,India,BF; DRI; EAF; IF; Steel other/unspecified,operating
P100000120535,930.0,1200.0,1295.0,1200.0,2287.0,55.0,India,BF; DRI; EAF,operating
P100000120758,6800.0,7500.0,6500.0,0.0,12299.0,108.0,Netherlands,BF; BOF; DRI; EAF,operating pre-retirement
P100000120529,10227.0,11000.0,11045.0,0.0,32364.0,114.0,India,BF; BOF,operating
P100000120852,259.0,750.0,0.0,750.0,1000.0,65.0,Singapore,EAF,operating
P100000120530,4390.0,8000.0,6500.0,0.0,3611.0,10.0,India,BF; BOF,operating
P100000120511,4928.0,5510.0,7200.0,422.0,1425.0,19.0,India,BF; BOF; DRI; EAF; IF; Steel other/unspecified,operating
P100000120482,2990.0,0.0,0.0,0.0,2000.0,121.0,United Kingdom,BF; BOF; EAF,no active capacity
P100000120731,1038.0,1230.0,0.0,1230.0,7500.0,72.0,Mexico,EAF,operating
P100000120007,1034.0,1720.0,960.0,1720.0,2993.0,65.57,Argentina,DRI; EAF,operating
P100000120734,489.0,600.0,0.0,600.0,251.0,33.0,Mexico,EAF,operating
P100000120038,3973.0,5200.0,5300.0,0.0,8000.0,16.0,Brazil,BF; BOF,operating
P100000120729,1956.0,2400.0,1730.0,2400.0,,83.0,Mexico,DRI; EAF,operating
P100000120728,650.0,1330.0,930.0,1330.0,575.0,57.0,Mexico,DRI; EAF,operating
P100000120008,1700.0,3501.0,4015.0,0.0,2074.0,66.0,Argentina,BF; BOF,operating
P100000120668,453.0,678.0,0.0,678.0,257.0,54.3,Japan,EAF,operating
P100000120669,473.0,708.0,0.0,708.0,257.0,63.39,Japan,EAF,operating
P100000120670,1738.0,2600.0,0.0,2600.0,257.0,15.72,Japan,EAF,operating
P100000120671,535.0,800.0,0.0,800.0,257.0,30.3,Japan,EAF,operating
P100001045582,290.0,550.0,200.0,0.0,700.0,12.1,Vietnam,BF; BOF,operating
P100000120732,1012.0,1650.0,0.0,1650.0,2300.0,33.0,Mexico,EAF,operating
P100000120419,2425.0,2800.0,2263.0,200.0,6000.0,187.0,Czech Republic,BF; BOF; EAF,both
P100000120854,3476.0,4500.0,4500.0,0.0,7712.0,61.0,Slovakia,BF; BOF,operating
P100000120928,2079.0,6022.0,0.0,6022.0,745.0,10.0,United States,DRI; EAF,operating
P100000120964,1638.0,2600.0,2770.0,0.0,650.0,151.0,United States,BF; BOF,operating
P100000120965,1008.0,1600.0,0.0,1600.0,750.0,6.0,United States,EAF,operating
P100000120966,4914.0,7800.0,6495.0,0.0,2246.0,118.0,United States,BF; BOF,operating
P100000120043,3186.0,5000.0,3660.0,0.0,6500.0,64.0,Brazil,BF; BOF,operating
P100000121001,781.0,1100.0,0.0,1100.0,10343.0,82.0,Uzbekistan,EAF,operating
P100000120044,664.0,1000.0,350.0,1000.0,2500.0,15.0,Brazil,BF; EAF,operating
P100000120011,1473.0,1570.0,1651.0,0.0,1356.0,148.0,Austria,BF; BOF; DRI; EAF,both
P100000120010,5627.0,6000.0,5000.0,0.0,9150.0,86.0,Austria,BF; BOF; DRI; EAF,both
