run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.test_mae,metrics.test_r2,metrics.cv_rmse,metrics.test_rmse,params.monotonic_cst,params.min_impurity_decrease,params.oob_score,params.verbose,params.seed,params.min_samples_leaf,params.train_n,params.n_jobs,params.max_depth,params.min_weight_fraction_leaf,params.max_features,params.test_n,params.model_type,params.random_state,params.n_estimators,params.bootstrap,params.max_samples,params.max_leaf_nodes,params.ccp_alpha,params.warm_start,params.min_samples_split,params.criterion,params.threads,params.dtype,params.max_num_rows,params.device,params.batch_size,params.constant,params.quantile,params.strategy,tags.execution_id,tags.mlflow.source.type,tags.mlflow.runName,tags.target_year,tags.data_sha256,tags.predictor_snapshot,tags.mlflow.user,tags.mlflow.source.name,tags.min_samples_leaf_distribution,tags.number,tags.model_family,tags.datetime_complete,tags.max_features_distribution,tags.n_estimators_distribution,tags.state,tags.direction,tags.max_depth_distribution,tags.datetime_start,tags.weights_revision,tags.source_revision
40cedf7f349b47a1b9bb3168ef0a084e,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/40cedf7f349b47a1b9bb3168ef0a084e/artifacts,2026-09-25 09:49:58.610000+00:00,2026-09-25 09:49:58.628000+00:00,,,826.2925452483857,,,,,,,3,,,5,,0.7512035442005175,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,20,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",20,Random Forest,2026-09-25 11:49:58.608039,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:58.065198,,
8e25b5b9644c43e6ac1f9f4b16470a88,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/8e25b5b9644c43e6ac1f9f4b16470a88/artifacts,2026-09-25 09:49:58.050000+00:00,2026-09-25 09:49:58.059000+00:00,,,880.0651927134002,,,,,,,5,,,10,,0.99698805868019,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,19,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",19,Random Forest,2026-09-25 11:49:58.048356,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:57.461820,,
4d948931e4f94a1c894509ea71e46c70,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/4d948931e4f94a1c894509ea71e46c70/artifacts,2026-09-25 09:49:57.451000+00:00,2026-09-25 09:49:57.459000+00:00,,,828.382037630922,,,,,,,1,,,5,,0.6613723723986846,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,18,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",18,Random Forest,2026-09-25 11:49:57.449078,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:56.959340,,
02ceec29562b4fb8afaf57b2a24efe55,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/02ceec29562b4fb8afaf57b2a24efe55/artifacts,2026-09-25 09:49:56.949000+00:00,2026-09-25 09:49:56.957000+00:00,,,844.8112144408436,,,,,,,4,,,10,,0.8664383947890231,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,17,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",17,Random Forest,2026-09-25 11:49:56.947880,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:56.443451,,
ef81736f073d47f987de5fd68e35b7e7,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/ef81736f073d47f987de5fd68e35b7e7/artifacts,2026-09-25 09:49:56.430000+00:00,2026-09-25 09:49:56.440000+00:00,,,827.1051824289307,,,,,,,3,,,5,,0.9975731252159747,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,16,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",16,Random Forest,2026-09-25 11:49:56.428286,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:55.938081,,
7b682df09840469c9c8fd164426d9fb2,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/7b682df09840469c9c8fd164426d9fb2/artifacts,2026-09-25 09:49:55.927000+00:00,2026-09-25 09:49:55.935000+00:00,,,826.2558777247598,,,,,,,3,,,5,,0.8980414106301866,,,,300,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,15,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",15,Random Forest,2026-09-25 11:49:55.925159,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:55.243493,,
8fa3b2752b734960842293761aadf2e8,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/8fa3b2752b734960842293761aadf2e8/artifacts,2026-09-25 09:49:55.233000+00:00,2026-09-25 09:49:55.241000+00:00,,,823.3183020938213,,,,,,,1,,,10,,0.9846401706890733,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,14,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",14,Random Forest,2026-09-25 11:49:55.231085,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:54.602955,,
0f9dc0fc7f704e5891403414f5ef55fb,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/0f9dc0fc7f704e5891403414f5ef55fb/artifacts,2026-09-25 09:49:54.584000+00:00,2026-09-25 09:49:54.600000+00:00,,,814.0445954314393,,,,,,,2,,,10,,0.9965833368756356,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,13,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",13,Random Forest,2026-09-25 11:49:54.581843,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:53.995223,,
b7ac13e842f74bfda6eb64696d8f2e8f,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/b7ac13e842f74bfda6eb64696d8f2e8f/artifacts,2026-09-25 09:49:53.986000+00:00,2026-09-25 09:49:53.993000+00:00,,,824.7579998852596,,,,,,,1,,,5,,0.8248734046358553,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,12,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",12,Random Forest,2026-09-25 11:49:53.984557,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:53.495147,,
da4e8e86139a49e8849611410a999152,1,FINISHED,/Users/adamzer/Documents/Codex/2026-09-25/ca/outputs/lab_2_complete/mlflow_artifacts/da4e8e86139a49e8849611410a999152/artifacts,2026-09-25 09:49:53.484000+00:00,2026-09-25 09:49:53.492000+00:00,,,820.575112407809,,,,,,,1,,,5,,0.8961920569640419,,,,200,,,,,,,,,,,,,,,,20260925T094947191206Z,NOTEBOOK,11,,,,adamzer,/Users/adamzer/Documents/Codex/2026-09-25/ca/work/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,"IntDistribution(high=8, log=False, low=1, step=1)",11,Random Forest,2026-09-25 11:49:53.482369,"FloatDistribution(high=1.0, log=False, low=0.5, step=None)","CategoricalDistribution(choices=(100, 200, 300))",COMPLETE,MINIMIZE,"CategoricalDistribution(choices=(None, 5, 10, 20))",2026-09-25 11:49:52.963607,,
