,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
Random Forest,825.3267427445192,180.25884613112584,514.1601463414634,88.89989043615172,0.8894523724485787,0.06027437616132206
Ridge,883.8698725820083,119.09779066575612,588.4795942289957,55.69081556155177,0.8652880258017465,0.08229306528745
Linear Regression,1007.3597554336131,108.12803442308912,676.6806810137911,95.65177380205164,0.8063574746649159,0.15233637240703576
