,RMSE,MAE,R2
Default RF pipeline,885.1145794189587,404.4523076923078,0.9484037646904524
Linear Regression,773.9280340714388,509.8357458568277,0.9605524366059371
"TabFM v1.0 (one estimator, 100-row context)",554.283182405352,385.3950688288762,0.9797659681398839
